Category	Question	Command
Code Analysis	How do I calculate the offset between current position and end of function?	?v $FE-$$
Code Analysis	How do I display all instructions from current position to end of basic block?	pD $Fe-$$
Code Analysis	How can I check if I'm at the last instruction of a basic block?	?v $e
Code Analysis	How do I get size of current section for memory scanning?	?v $SS
Code Analysis	How do I disassemble n bytes before current function?	pd $FB-$$ @ $$
Code Analysis	How do I calculate distance to next function for gap analysis?	?v ($FB@$$+$FS)-$$
Code Analysis	How do I get size of data at flag for buffer analysis?	?v $s{main}
Code Analysis	How do I disassemble whole function with offset annotations?	pD $FS @ $FB
Code Analysis	How do I calculate total size of all basic blocks in function?	?v $FSS
Code Analysis	How do I check distance between current instruction and jump target?	?v $j-$$
Exploit Dev	How do I calculate offset to return address on stack?	?v $r{rsp}-$B
Exploit Dev	How do I find distance between base and debug map for ASLR analysis?	?v $D-$B
Exploit Dev	How do I calculate size needed for buffer overflow to reach saved EIP?	?v $r{ebp}-$r{esp}+4
Exploit Dev	How do I get current block size for heap overflow calculation?	?v $b
Exploit Dev	How do I find offset between program base and specific function for ROP?	?v $FB-$DB
