main_command	main_description	command	description
%[name[=value]]	Set each NAME to VALUE in the environment	%	list all environment variables
%[name[=value]]	Set each NAME to VALUE in the environment	%*	show env vars as r2 commands
%[name[=value]]	Set each NAME to VALUE in the environment	%j	show env vars in JSON format
%[name[=value]]	Set each NAME to VALUE in the environment	%SHELL	prints SHELL value
%[name[=value]]	Set each NAME to VALUE in the environment	%TMPDIR=/tmp	"sets TMPDIR value to ""/tmp"""
(foo args;cmd1;cmd2;..)	Command macros	(foo args;..;..)	define a macro
(foo args;cmd1;cmd2;..)	Command macros	(foo args;..;..)()	define and call a macro
(foo args;cmd1;cmd2;..)	Command macros	(-foo)	remove a macro
(foo args;cmd1;cmd2;..)	Command macros	.(foo)	to call it
(foo args;cmd1;cmd2;..)	Command macros	()	break inside macro
(foo args;cmd1;cmd2;..)	Command macros	(*)	list all defined macros
(foo args;cmd1;cmd2;..)	Command macros	(j)	list macros in json format
(foo args;cmd1;cmd2;..)	Command macros	Argument support:	
(foo args;cmd1;cmd2;..)	Command macros	(foo x y; $0 @ $1)	define fun with args (x - $0; y - $1)
(foo args;cmd1;cmd2;..)	Command macros	.(foo 128 0x804800)	call it with args
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		0	alias for 's 0'
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		0xaddr	alias for 's 0x..'
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		#cmd	if # is a number repeat the command # times
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		/*	start multiline comment
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		*/	end multiline comment
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		.cmd	execute output of command as r2 script
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		.:8080	wait for commands on port 8080
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		.!rabin2 -re $FILE	run command output as r2 script
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		:cmd	run an io command (same as =!)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		-[?]	alias for s- aka negative relative seek and script editor
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		+[?]	alias for s+, act as a relative seek
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		*	output of command in r2 script format (CC*)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		j	output of command in JSON format (pdj)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~?	count number of lines (like wc -l)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~??	show internal grep help
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~..	internal less
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~{}	json indent
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~<>	xml indent
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~<100	ascii-art zoom of console buffer
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~{}..	json indent and less
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~word	grep for lines matching word
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~!word	grep for lines NOT matching word
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~word[2]	grep 3rd column of lines matching word
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		~word:3[0]	grep 1st column from the 4th line matching word
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@ 0x1024	temporary seek to this address (sym.main+3)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@ [addr]!blocksize	temporary set a new blocksize
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@..addr	temporary partial address seek (see s..)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@!blocksize	temporary change the block size (p8@3!3)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@{from to}	temporary set from and to for commands supporting ranges
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@a:arch[:bits]	temporary set arch and bits
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@b:bits	temporary set asm.bits
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@B:nth	temporary seek to nth instruction in current bb (negative numbers too)
