main_command	description	commands	raw_text
%[name[=value]]	Set each NAME to VALUE in the environment	"[{""command"": ""%"", ""description"": ""list all environment variables""}, {""command"": ""%*"", ""description"": ""show env vars as r2 commands""}, {""command"": ""%j"", ""description"": ""show env vars in JSON format""}, {""command"": ""%SHELL"", ""description"": ""prints SHELL value""}, {""command"": ""%TMPDIR=/tmp"", ""description"": ""sets TMPDIR value to \""/tmp\""""}]"	"Usage: %[name[=value]]  Set each NAME to VALUE in the environment
| %             list all environment variables
| %*            show env vars as r2 commands
| %j            show env vars in JSON format
| %SHELL        prints SHELL value
| %TMPDIR=/tmp  sets TMPDIR value to ""/tmp"""
(foo args;cmd1;cmd2;..)	Command macros	"[{""command"": ""(foo args;..;..)"", ""description"": ""define a macro""}, {""command"": ""(foo args;..;..)()"", ""description"": ""define and call a macro""}, {""command"": ""(-foo)"", ""description"": ""remove a macro""}, {""command"": "".(foo)"", ""description"": ""to call it""}, {""command"": ""()"", ""description"": ""break inside macro""}, {""command"": ""(*)"", ""description"": ""list all defined macros""}, {""command"": ""(j)"", ""description"": ""list macros in json format""}, {""command"": ""Argument support:"", ""description"": """"}, {""command"": ""(foo x y; $0 @ $1)"", ""description"": ""define fun with args (x - $0; y - $1)""}, {""command"": "".(foo 128 0x804800)"", ""description"": ""call it with args""}]"	"Usage: (foo args;cmd1;cmd2;..)  Command macros
| (foo args;..;..)     define a macro
| (foo args;..;..)()   define and call a macro
| (-foo)               remove a macro
| .(foo)               to call it
| ()                   break inside macro
| (*)                  list all defined macros
| (j)                  list macros in json format
| Argument support:    
| (foo x y; $0 @ $1)   define fun with args (x - $0; y - $1)
| .(foo 128 0x804800)  call it with args"
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		"[{""command"": ""0"", ""description"": ""alias for 's 0'""}, {""command"": ""0xaddr"", ""description"": ""alias for 's 0x..'""}, {""command"": ""#cmd"", ""description"": ""if # is a number repeat the command # times""}, {""command"": ""/*"", ""description"": ""start multiline comment""}, {""command"": ""*/"", ""description"": ""end multiline comment""}, {""command"": "".cmd"", ""description"": ""execute output of command as r2 script""}, {""command"": "".:8080"", ""description"": ""wait for commands on port 8080""}, {""command"": "".!rabin2 -re $FILE"", ""description"": ""run command output as r2 script""}, {""command"": "":cmd"", ""description"": ""run an io command (same as =!)""}, {""command"": ""-[?]"", ""description"": ""alias for s- aka negative relative seek and script editor""}, {""command"": ""+[?]"", ""description"": ""alias for s+, act as a relative seek""}, {""command"": ""*"", ""description"": ""output of command in r2 script format (CC*)""}, {""command"": ""j"", ""description"": ""output of command in JSON format (pdj)""}, {""command"": ""~?"", ""description"": ""count number of lines (like wc -l)""}, {""command"": ""~??"", ""description"": ""show internal grep help""}, {""command"": ""~.."", ""description"": ""internal less""}, {""command"": ""~{}"", ""description"": ""json indent""}, {""command"": ""~<>"", ""description"": ""xml indent""}, {""command"": ""~<100"", ""description"": ""ascii-art zoom of console buffer""}, {""command"": ""~{}.."", ""description"": ""json indent and less""}, {""command"": ""~word"", ""description"": ""grep for lines matching word""}, {""command"": ""~!word"", ""description"": ""grep for lines NOT matching word""}, {""command"": ""~word[2]"", ""description"": ""grep 3rd column of lines matching word""}, {""command"": ""~word:3[0]"", ""description"": ""grep 1st column from the 4th line matching word""}, {""command"": ""@ 0x1024"", ""description"": ""temporary seek to this address (sym.main+3)""}, {""command"": ""@ [addr]!blocksize"", ""description"": ""temporary set a new blocksize""}, {""command"": ""@..addr"", ""description"": ""temporary partial address seek (see s..)""}, {""command"": ""@!blocksize"", ""description"": ""temporary change the block size (p8@3!3)""}, {""command"": ""@{from to}"", ""description"": ""temporary set from and to for commands supporting ranges""}, {""command"": ""@a:arch[:bits]"", ""description"": ""temporary set arch and bits""}, {""command"": ""@b:bits"", ""description"": ""temporary set asm.bits""}, {""command"": ""@B:nth"", ""description"": ""temporary seek to nth instruction in current bb (negative numbers too)""}, {""command"": ""@c:cmd"", ""description"": ""seek to the address printed by the given command. same as '@ `cmd`'""}, {""command"": ""@e:k=v,k=v"", ""description"": ""temporary change eval vars""}, {""command"": ""@f:file"", ""description"": ""temporary replace block with file contents""}, {""command"": ""@F:flagspace"", ""description"": ""temporary change flag space""}, {""command"": ""@i:nth.op"", ""description"": ""temporary seek to the Nth relative instruction""}, {""command"": ""@k:k"", ""description"": ""temporary seek at value of sdb key `k`""}, {""command"": ""@o:fd"", ""description"": ""temporary switch to another fd""}, {""command"": ""@r:reg"", ""description"": ""tmp seek to reg value (f.ex pd@r:PC, see also $r{PC} and $r:PC)""}, {""command"": ""@s:string"", ""description"": ""same as above but from a string""}, {""command"": ""@v:value"", ""description"": ""modify the current offset to a custom value""}, {""command"": ""@x:909192"", ""description"": ""from hex pairs string""}, {""command"": ""@@=1 2 3"", ""description"": ""run the previous command at offsets 1, 2 and 3""}, {""command"": ""@@==foo bar"", ""description"": ""run the previous command appending a word on each iteration""}, {""command"": ""@@ hit*"", ""description"": ""run the command on every flag matching 'hit*'""}, {""command"": ""@@[?][ktfb..]"", ""description"": ""show help for the iterator operator""}, {""command"": ""@@@[?] [type]"", ""description"": ""run a command on every [type] (see @@@? for help)""}, {""command"": "">file"", ""description"": ""pipe output of command to file""}, {""command"": "">>file"", ""description"": ""append to file""}, {""command"": ""H>file"", ""description"": ""pipe output of command to file in HTML""}, {""command"": ""H>>file"", ""description"": ""append to file with the output of command in HTML""}, {""command"": ""`pdi~push:0[0]`"", ""description"": ""replace output of command inside the line""}, {""command"": ""|cmd"", ""description"": ""pipe output to command (pd|less) (.dr*)""}]"	"Usage: [.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]
| 0                   alias for 's 0'
| 0xaddr              alias for 's 0x..'
| #cmd                if # is a number repeat the command # times
| /*                  start multiline comment
| */                  end multiline comment
| .cmd                execute output of command as r2 script
| .:8080              wait for commands on port 8080
| .!rabin2 -re $FILE  run command output as r2 script
| :cmd                run an io command (same as =!)
| -[?]                alias for s- aka negative relative seek and script editor
| +[?]                alias for s+, act as a relative seek
| *                   output of command in r2 script format (CC*)
| j                   output of command in JSON format (pdj)
| ~?                  count number of lines (like wc -l)
| ~??                 show internal grep help
| ~..                 internal less
| ~{}                 json indent
| ~<>                 xml indent
| ~<100               ascii-art zoom of console buffer
| ~{}..               json indent and less
| ~word               grep for lines matching word
| ~!word              grep for lines NOT matching word
| ~word[2]            grep 3rd column of lines matching word
| ~word:3[0]          grep 1st column from the 4th line matching word
| @ 0x1024            temporary seek to this address (sym.main+3)
| @ [addr]!blocksize  temporary set a new blocksize
| @..addr             temporary partial address seek (see s..)
| @!blocksize         temporary change the block size (p8@3!3)
| @{from to}          temporary set from and to for commands supporting ranges
| @a:arch[:bits]      temporary set arch and bits
| @b:bits             temporary set asm.bits
| @B:nth              temporary seek to nth instruction in current bb (negative numbers too)
| @c:cmd              seek to the address printed by the given command. same as '@ `cmd`'
| @e:k=v,k=v          temporary change eval vars
| @f:file             temporary replace block with file contents
| @F:flagspace        temporary change flag space
| @i:nth.op           temporary seek to the Nth relative instruction
| @k:k                temporary seek at value of sdb key `k`
| @o:fd               temporary switch to another fd
| @r:reg              tmp seek to reg value (f.ex pd@r:PC, see also $r{PC} and $r:PC)
| @s:string           same as above but from a string
| @v:value            modify the current offset to a custom value
| @x:909192           from hex pairs string
| @@=1 2 3            run the previous command at offsets 1, 2 and 3
| @@==foo bar         run the previous command appending a word on each iteration
| @@ hit*             run the command on every flag matching 'hit*'
| @@[?][ktfb..]       show help for the iterator operator
| @@@[?] [type]       run a command on every [type] (see @@@? for help)
| >file               pipe output of command to file
| >>file              append to file
| H>file              pipe output of command to file in HTML
| H>>file             append to file with the output of command in HTML
| `pdi~push:0[0]`     replace output of command inside the line
| |cmd                pipe output to command (pd|less) (.dr*)"
-	open editor and run the r2 commands in the saved document	"[{""command"": ""'-' '.-' '. -'"", ""description"": ""those three commands do the same""}, {""command"": ""-8"", ""description"": ""same as s-8, but shorter to type (see +? command)""}, {""command"": ""-a x86"", ""description"": ""same as r2 -a x86 or e asm.arch=x86""}, {""command"": ""-A[?]"", ""description"": ""same as r2 -A or aaa""}, {""command"": ""-b 32"", ""description"": ""same as e or r2 -e""}, {""command"": ""-c cpu"", ""description"": ""same as r2 -e asm.cpu=""}, {""command"": ""-e k=v"", ""description"": ""same as r2 -b or e asm.bits""}, {""command"": ""-h"", ""description"": ""show this help (same as -?)""}, {""command"": ""-H key"", ""description"": ""same as r2 -H""}, {""command"": ""-k kernel"", ""description"": ""same as r2 -k or e asm.os""}, {""command"": ""-f"", ""description"": ""block size = file size (b $s)""}, {""command"": ""-j"", ""description"": ""enter the js: repl""}, {""command"": ""-i [file]"", ""description"": ""same as . [file], to run a script""}, {""command"": ""-s [addr]"", ""description"": ""same as r2 -e asm.cpu=""}, {""command"": ""-L"", ""description"": ""same as Lo (or r2 -L)""}, {""command"": ""-p project"", ""description"": ""same as 'P [prjname]' to load a project""}, {""command"": ""-P patchfile"", ""description"": ""apply given patch file (see doc/rapatch2.md)""}, {""command"": ""-v"", ""description"": ""same as -V""}, {""command"": ""-V"", ""description"": ""show r2 version, same as ?V""}, {""command"": ""--"", ""description"": ""seek one block backward. Same as s-- (see `b` command)""}]"	"Usage: -  open editor and run the r2 commands in the saved document
| '-' '.-' '. -'   those three commands do the same
| -8              same as s-8, but shorter to type (see +? command)
| -a x86          same as r2 -a x86 or e asm.arch=x86
| -A[?]           same as r2 -A or aaa
| -b 32           same as e or r2 -e
| -c cpu          same as r2 -e asm.cpu=
| -e k=v          same as r2 -b or e asm.bits
| -h              show this help (same as -?)
| -H key          same as r2 -H
| -k kernel       same as r2 -k or e asm.os
| -f              block size = file size (b $s)
| -j              enter the js: repl
| -i [file]       same as . [file], to run a script
| -s [addr]       same as r2 -e asm.cpu=
| -L              same as Lo (or r2 -L)
| -p project      same as 'P [prjname]' to load a project
| -P patchfile    apply given patch file (see doc/rapatch2.md)
| -v              same as -V
| -V              show r2 version, same as ?V
| --              seek one block backward. Same as s-- (see `b` command)"
aaa[a[a]]	# automatically analyze the whole program	"[{""command"": ""aaa"", ""description"": ""perform deeper analysis, most common use""}, {""command"": ""aaaa"", ""description"": ""same as aaa but adds a bunch of experimental iterations""}, {""command"": ""aaaaa"", ""description"": ""refine the analysis to find more functions after aaaa""}, {""command"": ""@@"", ""description"": ""# foreach iterator command:""}, {""command"": ""x @@ sym.*"", ""description"": ""run 'x' over all flags matching 'sym.' in current flagspace""}, {""command"": ""x @@.file"", ""description"": ""run 'x' over the offsets specified in the file (one offset per line)""}, {""command"": ""x @@/x 9090"", ""description"": ""temporary set cmd.hit to run a command on each search result""}, {""command"": ""x @@=`pdf~call[0]`"", ""description"": ""run 'x' at every call offset of the current function""}, {""command"": ""x @@=off1 off2 .."", ""description"": ""manual list of offsets""}, {""command"": ""x @@b"", ""description"": ""run 'x' on all basic blocks of current function (see afb)""}, {""command"": ""x @@c:cmd"", ""description"": ""the same as @@=`` without the backticks""}, {""command"": ""x @@dbt[abs]"", ""description"": ""run 'x' command on every backtrace address, bp or sp""}, {""command"": ""x @@f"", ""description"": ""run 'x' on all functions (see aflq)""}, {""command"": ""x @@f:write"", ""description"": ""run 'x' on all functions matching write in the name""}, {""command"": ""x @@F"", ""description"": ""alias for @@c:afla - inverse recursive function list""}, {""command"": ""x @@i"", ""description"": ""run 'x' on all instructions of the current function (see pdr)""}, {""command"": ""x @@iS"", ""description"": ""run 'x' on all sections adjusting blocksize""}, {""command"": ""x @@k sdbquery"", ""description"": ""run 'x' on all offsets returned by that sdbquery""}, {""command"": ""x @@s:from to step"", ""description"": ""run 'x' on all offsets from, to incrementing by step""}, {""command"": ""x @@t"", ""description"": ""run 'x' on all threads (see dp)""}, {""command"": ""@@@"", ""description"": ""# foreach offset+size iterator command:""}, {""command"": ""x @@@="", ""description"": ""[addr] [size] ([addr] [size] ...)""}, {""command"": ""x @@@b"", ""description"": ""basic blocks of current function""}, {""command"": ""x @@@C:cmd"", ""description"": ""comments matching""}, {""command"": ""x @@@c:cmd"", ""description"": ""Same as @@@=`cmd`, without the backticks""}, {""command"": ""x @@@e"", ""description"": ""entries""}, {""command"": ""x @@@E"", ""description"": ""exports""}, {""command"": ""x @@@f"", ""description"": ""flags""}, {""command"": ""x @@@F"", ""description"": ""functions (set fcn size which may be incorrect if not linear)""}, {""command"": ""x @@@F:glob"", ""description"": ""functions matching glob expression""}, {""command"": ""x @@@f:hit*"", ""description"": ""flags matching glob expression""}, {""command"": ""x @@@i"", ""description"": ""imports""}, {""command"": ""x @@@M"", ""description"": ""dbg.maps (See ?$?~size)""}, {""command"": ""x @@@m"", ""description"": ""io.maps""}, {""command"": ""x @@@r"", ""description"": ""registers""}, {""command"": ""x @@@R"", ""description"": ""relocs""}, {""command"": ""x @@@S"", ""description"": ""sections""}, {""command"": ""x @@@s"", ""description"": ""symbols""}, {""command"": ""x @@@SS"", ""description"": ""segments (same as @@@G)""}, {""command"": ""x @@@t"", ""description"": ""threads""}, {""command"": ""x @@@z"", ""description"": ""ztrings""}, {""command"": ""'# run a command without evaluating any special character"", ""description"": """"}, {""command"": ""'?e hello @ world"", ""description"": ""print everything after `?e` (r2.call)""}, {""command"": ""'0x123'?v $$"", ""description"": ""run the '?v $$' command in the 0x123 offset (same as r2.callAt)""}, {""command"": ""'@entry0'?v $$"", ""description"": ""same as '0x but supports non numeric offsets""}]"	"Usage: aaa[a[a]]   # automatically analyze the whole program
| aaa    perform deeper analysis, most common use
| aaaa   same as aaa but adds a bunch of experimental iterations
| aaaaa  refine the analysis to find more functions after aaaa
| @@                   # foreach iterator command:
| x @@ sym.*          run 'x' over all flags matching 'sym.' in current flagspace
| x @@.file           run 'x' over the offsets specified in the file (one offset per line)
| x @@/x 9090         temporary set cmd.hit to run a command on each search result
| x @@=`pdf~call[0]`  run 'x' at every call offset of the current function
| x @@=off1 off2 ..   manual list of offsets
| x @@b               run 'x' on all basic blocks of current function (see afb)
| x @@c:cmd           the same as @@=`` without the backticks
| x @@dbt[abs]        run 'x' command on every backtrace address, bp or sp
| x @@f               run 'x' on all functions (see aflq)
| x @@f:write         run 'x' on all functions matching write in the name
| x @@F               alias for @@c:afla - inverse recursive function list
| x @@i               run 'x' on all instructions of the current function (see pdr)
| x @@iS              run 'x' on all sections adjusting blocksize
| x @@k sdbquery      run 'x' on all offsets returned by that sdbquery
| x @@s:from to step  run 'x' on all offsets from, to incrementing by step
| x @@t               run 'x' on all threads (see dp)
| @@@           # foreach offset+size iterator command:
| x @@@=       [addr] [size] ([addr] [size] ...)
| x @@@b       basic blocks of current function
| x @@@C:cmd   comments matching
| x @@@c:cmd   Same as @@@=`cmd`, without the backticks
| x @@@e       entries
| x @@@E       exports
| x @@@f       flags
| x @@@F       functions (set fcn size which may be incorrect if not linear)
| x @@@F:glob  functions matching glob expression
| x @@@f:hit*  flags matching glob expression
| x @@@i       imports
| x @@@M       dbg.maps (See ?$?~size)
| x @@@m       io.maps
| x @@@r       registers
| x @@@R       relocs
| x @@@S       sections
| x @@@s       symbols
| x @@@SS      segments (same as @@@G)
| x @@@t       threads
| x @@@z       ztrings
| '# run a command without evaluating any special character  
| '?e hello @ world  print everything after `?e` (r2.call)
| '0x123'?v $$       run the '?v $$' command in the 0x123 offset (same as r2.callAt)
| '@entry0'?v $$     same as '0x but supports non numeric offsets"
!<cmd>		"[{""command"": ""!"", ""description"": ""list all commands in the shell history""}, {""command"": ""!ls"", ""description"": ""execute 'ls' in shell""}, {""command"": ""!*r2p x"", ""description"": ""run r2 command via r2pipe in current session""}, {""command"": ""!."", ""description"": ""save command history to hist file""}, {""command"": ""!!"", ""description"": ""list commands used in current session""}, {""command"": ""!!ls~txt"", ""description"": ""print output of 'ls' and grep for 'txt'""}, {""command"": ""!!!cmd [args|$type]"", ""description"": ""adds the autocomplete value""}, {""command"": ""!!!-cmd [args]"", ""description"": ""removes the autocomplete value""}, {""command"": "".!rabin2 -rpsei ${FILE}"", ""description"": ""run each output line as a r2 cmd""}, {""command"": ""!echo $R2_SIZE"", ""description"": ""display file size""}, {""command"": ""!-"", ""description"": ""clear history in current session""}, {""command"": ""!-*"", ""description"": ""clear and save empty history log""}, {""command"": ""!=!"", ""description"": ""enable remotecmd mode""}, {""command"": ""=!="", ""description"": ""disable remotecmd mode""}]"	"Usage: !<cmd>    Run given command as in system(3)
| !                        list all commands in the shell history
| !ls                      execute 'ls' in shell
| !*r2p x                  run r2 command via r2pipe in current session
| !.                       save command history to hist file
| !!                       list commands used in current session
| !!ls~txt                 print output of 'ls' and grep for 'txt'
| !!!cmd [args|$type]      adds the autocomplete value
| !!!-cmd [args]           removes the autocomplete value
| .!rabin2 -rpsei ${FILE}  run each output line as a r2 cmd
| !echo $R2_SIZE           display file size
| !-                       clear history in current session
| !-*                      clear and save empty history log
| !=!                      enable remotecmd mode
| =!=                      disable remotecmd mode"
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	"[{""command"": ""="", ""description"": ""list all open connections""}, {""command"": ""=<[fd] cmd"", ""description"": ""send output of local command to remote fd""}, {""command"": ""=[fd] cmd"", ""description"": ""exec cmd at remote 'fd' (last open is default one)""}, {""command"": ""=! cmd"", ""description"": ""run command via r_io_system""}, {""command"": ""=+ [proto://]host:port"", ""description"": ""connect to remote host:port (*rap://, raps://, tcp://, udp://, http://)""}, {""command"": ""=-[fd]"", ""description"": ""remove all hosts or host 'fd'""}, {""command"": ""==[fd]"", ""description"": ""open remote session with host 'fd', 'q' to quit""}, {""command"": ""=!="", ""description"": ""disable remote cmd mode""}, {""command"": ""!=!"", ""description"": ""enable remote cmd mode""}, {""command"": ""=l[?]"", ""description"": ""list, create or destroy background session server""}, {""command"": ""=tport"", ""description"": ""start the tcp server (echo x|nc ::1 9090 or curl ::1:9090/cmd/x)""}, {""command"": ""=rport"", ""description"": ""start the rap server (o rap://9999)""}, {""command"": ""=g[?]"", ""description"": ""start the gdbserver""}, {""command"": ""=h port"", ""description"": ""start the http webserver on 'port'""}, {""command"": ""=H port"", ""description"": ""start the http webserver on 'port' (launch browser)""}, {""command"": ""=&:port"", ""description"": ""start rap server in background (same as '&_=h')""}, {""command"": ""=:host:port cmd"", ""description"": ""run 'cmd' command on remote server""}, {""command"": ""=+tcp://localhost:9090/"", ""description"": ""connect to: r2 -c.:9090 ./bin""}, {""command"": ""=+rap://localhost:9090/"", ""description"": ""connect to: r2 rap://:9090""}, {""command"": ""=+http://localhost:9090/cmd/"", ""description"": ""connect to: r2 -c'=h 9090' bin""}, {""command"": ""o rap://:9090/"", ""description"": ""start the rap server on tcp port 9090""}]"	"Usage:  =[:!+-=ghH] [...]   # connect with other instances of r2
remote commands:
| =                             list all open connections
| =<[fd] cmd                    send output of local command to remote fd
| =[fd] cmd                     exec cmd at remote 'fd' (last open is default one)
| =! cmd                        run command via r_io_system
| =+ [proto://]host:port        connect to remote host:port (*rap://, raps://, tcp://, udp://, http://)
| =-[fd]                        remove all hosts or host 'fd'
| ==[fd]                        open remote session with host 'fd', 'q' to quit
| =!=                           disable remote cmd mode
| !=!                           enable remote cmd mode
servers:
| =l[?]                         list, create or destroy background session server
| =tport                        start the tcp server (echo x|nc ::1 9090 or curl ::1:9090/cmd/x)
| =rport                        start the rap server (o rap://9999)
| =g[?]                         start the gdbserver
| =h port                       start the http webserver on 'port'
| =H port                       start the http webserver on 'port' (launch browser)
other:
| =&:port                       start rap server in background (same as '&_=h')
| =:host:port cmd               run 'cmd' command on remote server
examples:
| =+tcp://localhost:9090/       connect to: r2 -c.:9090 ./bin
| =+rap://localhost:9090/       connect to: r2 rap://:9090
| =+http://localhost:9090/cmd/  connect to: r2 -c'=h 9090' bin
| o rap://:9090/                start the rap server on tcp port 9090"
=l	[..] list, create and destroy r2 sessions	"[{""command"": ""=l"", ""description"": ""list all available sessions""}, {""command"": ""=l [name]"", ""description"": ""give a name to the current session""}, {""command"": ""=l-"", ""description"": ""stop listening in background""}, {""command"": ""=ll"", ""description"": ""start a new session: listening for commands in background""}]"	"Usage: =l   [..] list, create and destroy r2 sessions
| =l         list all available sessions
| =l [name]  give a name to the current session
| =l-        stop listening in background
| =ll        start a new session: listening for commands in background"
=[g] [...]	# gdb server gdbserver:	"[{""command"": ""=g port file [args]"", ""description"": ""listen on 'port' debugging 'file' using gdbserver""}]"	"Usage:  =[g] [...]   # gdb server
gdbserver:
| =g port file [args]  listen on 'port' debugging 'file' using gdbserver"
?[?[?]] expression		"[{""command"": ""?! [cmd]"", ""description"": ""run cmd if $? == 0""}, {""command"": ""? eip-0x804800"", ""description"": ""show all representation result for this math expr""}, {""command"": ""?'"", ""description"": ""show help for the single quote (do not evaluate special characters in command)""}, {""command"": ""?$"", ""description"": ""show value all the variables ($)""}, {""command"": ""?+ [cmd]"", ""description"": ""run cmd if $? > 0""}, {""command"": ""?- [cmd]"", ""description"": ""run cmd if $? < 0""}, {""command"": ""?= eip-0x804800"", ""description"": ""update $? return code with result of operation""}, {""command"": ""?== x86 `e asm.arch`"", ""description"": ""strcmp two strings""}, {""command"": ""?? [cmd]"", ""description"": ""run cmd if $? != 0""}, {""command"": ""??"", ""description"": ""show value of operation""}, {""command"": ""?a"", ""description"": ""show ascii table""}, {""command"": ""?B [elem]"", ""description"": ""show range boundaries like 'e?search.in""}, {""command"": ""?b [num]"", ""description"": ""show binary value of number""}, {""command"": ""?b64[-] [str]"", ""description"": ""encode/decode in base64""}, {""command"": ""?btw num|expr num|expr num|expr"", ""description"": ""returns boolean value of a <= b <= c""}, {""command"": ""?d [num]"", ""description"": ""disasssemble given number as a little and big endian dword""}, {""command"": ""?e[=bdgnpst] arg"", ""description"": ""echo messages, bars, pie charts and more (see ?e? for details)""}, {""command"": ""?f [num] [str]"", ""description"": ""map each bit of the number as flag string index""}, {""command"": ""?F"", ""description"": ""flush cons output""}, {""command"": ""?h [str]"", ""description"": ""calculate hash for given string""}, {""command"": ""?i[?] arg"", ""description"": ""prompt for number or Yes,No,Msg,Key,Path and store in $$?""}, {""command"": ""?j arg"", ""description"": ""same as '? num' but in JSON""}, {""command"": ""?l[q] str"", ""description"": ""returns the length of string ('q' for quiet, just set $?)""}, {""command"": ""?o num"", ""description"": ""get octal value""}, {""command"": ""?P paddr"", ""description"": ""get virtual address for given physical one""}, {""command"": ""?p vaddr"", ""description"": ""get physical address for given virtual address""}, {""command"": ""?q num|expr"", ""description"": ""compute expression like ? or ?v but in quiet mode""}, {""command"": ""?r [from] [to]"", ""description"": ""generate random number between from-to""}, {""command"": ""?s from to step"", ""description"": ""sequence of numbers from to by steps""}, {""command"": ""?t cmd"", ""description"": ""returns the time to run a command""}, {""command"": ""?T"", ""description"": ""show loading times""}, {""command"": ""?u num"", ""description"": ""get value in human units (KB, MB, GB, TB)""}, {""command"": ""?v num|expr"", ""description"": ""show hex value of math expr (no expr prints $?)""}, {""command"": ""?vi[1248] num|expr"", ""description"": ""show decimal value of math expr [n bytes]""}, {""command"": ""?vx num|expr"", ""description"": ""show 8 digit padding in hex""}, {""command"": ""?V"", ""description"": ""show library version of r_core""}, {""command"": ""?w addr"", ""description"": ""show what's in this address (like pxr/pxq does)""}, {""command"": ""?X num|expr"", ""description"": ""returns the hexadecimal value numeric expr""}, {""command"": ""?x str"", ""description"": ""returns the hexpair of number or string""}, {""command"": ""?x+num"", ""description"": ""like ?v, but in hexpairs honoring cfg.bigendian""}, {""command"": ""?x-hexst"", ""description"": ""convert hexpair into raw string with newline""}, {""command"": ""?_ hudfile"", ""description"": ""load hud menu with given file""}, {""command"": ""[cmd]?*"", ""description"": ""recursive help for the given cmd""}]"	"Usage: ?[?[?]] expression
| ?! [cmd]                         run cmd if $? == 0
| ? eip-0x804800                   show all representation result for this math expr
| ?'                               show help for the single quote (do not evaluate special characters in command)
| ?$                               show value all the variables ($)
| ?+ [cmd]                         run cmd if $? > 0
| ?- [cmd]                         run cmd if $? < 0
| ?= eip-0x804800                  update $? return code with result of operation
| ?== x86 `e asm.arch`             strcmp two strings
| ?? [cmd]                         run cmd if $? != 0
| ??                               show value of operation
| ?a                               show ascii table
| ?B [elem]                        show range boundaries like 'e?search.in
| ?b [num]                         show binary value of number
| ?b64[-] [str]                    encode/decode in base64
| ?btw num|expr num|expr num|expr  returns boolean value of a <= b <= c
| ?d [num]                         disasssemble given number as a little and big endian dword
| ?e[=bdgnpst] arg                 echo messages, bars, pie charts and more (see ?e? for details)
| ?f [num] [str]                   map each bit of the number as flag string index
| ?F                               flush cons output
| ?h [str]                         calculate hash for given string
| ?i[?] arg                        prompt for number or Yes,No,Msg,Key,Path and store in $$?
| ?j arg                           same as '? num' but in JSON
| ?l[q] str                        returns the length of string ('q' for quiet, just set $?)
| ?o num                           get octal value
| ?P paddr                         get virtual address for given physical one
| ?p vaddr                         get physical address for given virtual address
| ?q num|expr                      compute expression like ? or ?v but in quiet mode
| ?r [from] [to]                   generate random number between from-to
| ?s from to step                  sequence of numbers from to by steps
| ?t cmd                           returns the time to run a command
| ?T                               show loading times
| ?u num                           get value in human units (KB, MB, GB, TB)
| ?v num|expr                      show hex value of math expr (no expr prints $?)
| ?vi[1248] num|expr               show decimal value of math expr [n bytes]
| ?vx num|expr                     show 8 digit padding in hex
| ?V                               show library version of r_core
| ?w addr                          show what's in this address (like pxr/pxq does)
| ?X num|expr                      returns the hexadecimal value numeric expr
| ?x str                           returns the hexpair of number or string
| ?x+num                           like ?v, but in hexpairs honoring cfg.bigendian
| ?x-hexst                         convert hexpair into raw string with newline
| ?_ hudfile                       load hud menu with given file
| [cmd]?*                          recursive help for the given cmd"
